"","date","time","geo_code","crime_category","address"
"327014","12/01/2010","00:01","547-05","Sex Offenses","900 N BROADWAY ,URBANA,IL"
"327991","01/01/2011","00:01","605-07","Sex Offenses","700 COLORADO AV ,URBANA,IL"
"329030","01/31/2011","15:00","547-02","Sex Offenses","1200 DIVISION ,URBANA,IL"
"329073","02/02/2011","04:20","577-05","Sex Offenses","1600 HUNTER ,URBANA,IL"
"329577","02/14/2011","13:10","547-05","Sex Offenses","100 STEBBINS ,URBANA,IL"
"330064","02/25/2011","17:25","547-08","Sex Offenses","300 E UNIVERSITY ,URBANA,IL"
"330656","03/13/2011","15:00","576-05","Sex Offenses","1800 JAMES CHERRY DR ,URBANA,IL"
"331149","03/28/2011","11:50","575-03","Sex Offenses","700 W ELM ,URBANA,IL"
"331818","04/13/2011","17:15","547-08","Sex Offenses","900 N BROADWAY ,URBANA,IL"
"332251","04/26/2011","12:54","577-06","Sex Offenses","400 S VINE ,URBANA,IL"
"332479","05/01/2011","09:00","606-01","Sex Offenses","1600 E FLORIDA AV ,URBANA,IL"
"332695","05/06/2011","12:48","575-07","Sex Offenses","800 W OREGON ,URBANA,IL"
"332847","05/09/2011","19:30","576-05","Sex Offenses","200 E WASHINGTON ,URBANA,IL"
"333181","05/15/2011","12:00","605-04","Sex Offenses","1200 E FLORIDA ,URBANA,IL"
"333448","05/21/2011","19:00","577-03","Sex Offenses","2500 PRAIRIE GREEN ,URBANA,IL"
"333788","05/29/2011","02:35","546-15","Sex Offenses","400 S VINE ST ,URBANA,IL"
"333921","06/01/2011","13:00","547-11","Sex Offenses","400 N BROADWAY ,URBANA,IL"
"334847","06/22/2011","02:49","546-08","Sex Offenses","1200 W UNIVERSITY ,URBANA,IL"
"334848","06/22/2011","02:49","546-08","Sex Offenses","1200 W UNIVERSITY ,URBANA,IL"
"336323","07/27/2011","13:31","606-04","Sex Offenses","400 S VINE ,URBANA,IL"
"337017","08/13/2011","23:00","576-14","Sex Offenses","1400 S ANDERSON ST ,URBANA,IL"
"337589","08/27/2011","00:01","547-05","Sex Offenses","900 N BROADWAY ,URBANA,IL"
"337660","08/28/2011","17:00","605-04","Sex Offenses","1200 E FLORIDA ,URBANA,IL"
"338558","09/20/2011","15:50","546-14","Sex Offenses","700 W SPRINGFIELD ,URBANA,IL"
"338597","09/21/2011","17:10","546-08","Sex Offenses","1300 W HILL ,URBANA,IL"
